featureid	Intercept	C(mouse_type, Treatment('control'))[T.vancomycin]	C(mouse_type, Treatment('control'))[T.wound]
GO:0000014	3.587921740174311	-0.050801573292185154	0.5587850376266736
GO:0000015	1.6626768127679998	0.3985730428539025	0.8545829816955823
GO:0000027	-0.6024769529104059	1.3568467516742455	0.6425510957140226
GO:0000030	0.4297262445688421	1.1613855976901757	1.2541623278755445
GO:0000034	-1.7479971631765192	0.8746402878604638	0.6297789155740041
GO:0000036	-0.7318886502981012	0.2141846139274346	0.7317623659271497
GO:0000041	-0.22276007974146061	1.1506423373065697	1.249695496191432
GO:0000049	3.40848161435129	0.2886628229461419	0.8572251959938306
GO:0000062	-3.0085962995290583	-0.23310287107603678	-3.235286398301671
GO:0000103	1.005548121094721	0.8018021006427514	1.0231287940639753
GO:0000104	1.1146253362894232	0.6450153012119042	0.714183108438899
GO:0000105	3.2122165874242956	0.07580389271600119	0.6841331734556455
GO:0000107	0.260339380860346	1.076616706355642	1.2219731970924634
GO:0000150	3.499531516492384	-2.458777008549143	1.6664534374374647
GO:0000155	6.085572601914423	-1.6517283301510108	0.4746210738319654
GO:0000156	-0.414228318572027	0.9187299628101098	0.24529226266329474
GO:0000160	4.546231688618677	-1.0421305875934852	0.7083501830000181
GO:0000162	2.0366873756647283	-0.9933143239177955	0.40523359321539587
GO:0000166	3.2881024793386633	0.14155087064130178	0.6920652552742261
GO:0000175	-1.8531426175832575	0.7265557069621789	0.4132392569679517
GO:0000179	1.1855348364114935	0.3541396577201592	0.8022195413011808
GO:0000256	-1.3334745153188532	0.8558182735286461	-1.8169202045303088
GO:0000270	1.4616082922220404	-0.0726997572638286	0.5617411218352366
GO:0000271	2.7158640042543585	-0.8145818095363868	0.43881510340159124
GO:0000272	4.09512412703039	-2.3614519219555152	0.3733476861614484
GO:0000286	1.0513190046549017	-2.299481926456858	0.3693935438293714
GO:0000287	4.228219749093073	0.48144358585698477	0.877169118751933
GO:0000302	1.5974674240350897	-2.514074860111643	0.38568930469935125
GO:0000310	0.012258650422113604	-0.8809148650326026	0.45657434456532187
GO:0000453	0.8653610960245306	0.04883249293191305	0.7213772847551603
GO:0000502	-2.0160263761281794	0.6232917923770653	-0.7418603137832385
GO:0000716	-0.5417364820241755	1.0441532749973046	1.1931194826263685
GO:0000723	2.4111257807016546	-2.3367596249737037	0.3292301907438535
GO:0000724	-0.06628215157983952	1.2947302479587304	0.8119152053493757
GO:0000725	-2.324016450285894	-0.804654536739756	1.004932002653529
GO:0000737	-5.141868947386724	-2.9118960480846656	0.9541087313789625
GO:0000746	-0.9994753583669489	1.4466347117267357	-1.836362762818883
GO:0000774	0.3978356138467962	0.2787007708392846	0.6845818921226758
GO:0000820	-1.251336930632574	0.627833964332174	0.7029519691366453
GO:0000902	1.3693195596933538	0.2728500087104546	0.7349710776705045
GO:0000906	0.20482719099523372	0.21057728122098318	0.7736764117378492
GO:0000917	0.7342747465372259	0.333587320550512	0.9715240462917585
GO:0000921	-1.9303292020559137	1.320764483913015	-0.2553981975417834
GO:0000967	-2.7332419141530817	0.11912238787038198	0.7438787832159299
GO:0000977	-0.4314845784902399	-0.6177838425792945	0.5919065303403634
GO:0000986	-2.978814957976324	0.5237956662021386	0.48747104548399633
GO:0001000	-4.77384126031397	-0.3085184972442878	-0.34265921867902094
GO:0001123	-1.0030406697988337	1.2328929323993432	0.9091242416996259
GO:0001216	1.7005240932703192	-0.21060715426581034	0.6018040827709932
GO:0001407	-1.4281057103872126	1.5272197146259057	-4.404886169801305
GO:0001514	-3.1892884954213923	-0.2804627548612846	1.169330732454707
GO:0001522	3.0614728943109686	-0.14412938614266046	0.5422236933607358
GO:0001530	-2.0591691716909235	1.4641513247333275	-0.41951267279202753
GO:0001558	-4.183104394316656	-0.3433308582462562	0.9672660096782941
GO:0001671	-1.8932379468679255	1.1707170624576317	-0.9487231210571032
GO:0001678	1.017660977005976	-2.3614214043773902	0.43195153914873785
GO:0001680	-1.6916779264211481	1.167651714786123	0.18100915991251654
GO:0001681	3.8312618151903326	-1.7611064295925392	0.37553180896227545
GO:0001682	-2.5286163076162165	1.047562660678457	0.6583863809007902
GO:0002097	-1.2666496022939508	1.546880664332937	-4.491289062867711
GO:0002098	2.144948484063166	-0.11702188660280832	0.6032572216588754
GO:0002100	0.5074185148477728	0.14659378121716848	0.6951594813961286
GO:0002161	1.6441789880991156	0.9288194198451745	1.3060922785896558
GO:0002935	-0.04770481431482487	1.1285535712085473	1.2561167045730848
GO:0002949	1.873215676903742	0.2927421350322472	0.7182430937189359
GO:0002953	-2.594035027861578	-0.92845397998469	0.5892021521229047
GO:0003676	4.502169252991694	-0.004101367638279285	0.8252623542446393
GO:0003677	6.520352245926874	-0.30459669043200144	0.8798301979202527
GO:0003678	2.783033372521418	0.028535509511064205	0.7200866206783552
GO:0003684	1.3769525305032904	-0.07456880246179232	1.0822050138611097
GO:0003688	1.5781368032694036	0.011849293514321957	0.7194844647545118
GO:0003690	-0.7192100270986383	1.3753468413196313	1.1410288973945875
GO:0003697	2.2133921400308783	0.10283488224370352	0.7437305464643735
GO:0003700	6.241085888504999	-1.4170132260479225	0.46174232058708853
GO:0003723	4.4889851824045355	0.09253899942262045	0.7037147744793195
GO:0003724	-1.9505051358938044	1.1183961052737939	0.8721374734539289
GO:0003725	0.9551795736551458	0.651363017066549	0.8598592444557447
GO:0003727	-0.26371991479395085	-0.013574002281595554	0.46007085733597464
GO:0003729	-0.24531519258020573	0.9957185406528222	1.3463689848083753
GO:0003735	3.7985706493854696	0.17702768932206503	0.8050402715105314
GO:0003743	2.6877565399408514	-0.34565648247378	0.5910659968156118
GO:0003746	2.8185020700693304	0.19274349699838034	0.7907966985601682
GO:0003747	2.242701532006281	-0.2745114993013633	0.5432015345666308
GO:0003755	2.4350188986063177	0.5513873715244042	0.8565676971573133
GO:0003774	0.0100609079599554	1.0770618338428246	0.22348965846483893
GO:0003796	0.6226035372018988	-0.263485712901522	0.8313622935909528
GO:0003824	6.5211859956979925	-0.38637217690127024	0.5211148462492723
GO:0003830	-3.3719791158437555	-4.2798297982372535	1.413287715544154
GO:0003834	-3.6036871656179255	-0.933252690330912	-1.3911968902450305
GO:0003839	-1.0314873441457575	-0.08616546724813112	0.9433902665275831
GO:0003841	-2.5696481450795954	-1.9120849948086036	1.3724745079178113
GO:0003842	2.6721761242151434	-2.304765997425486	0.30505724393313116
GO:0003844	0.39723122274877376	1.3707541842303979	1.3268507286209363
GO:0003848	0.9049040094614202	-0.5341992955364478	0.5309847868282098
GO:0003849	0.0708056703806097	1.5270016808353182	1.1159717603821058
GO:0003852	0.35889637625219173	1.3259633202396142	1.3264151974815626
GO:0003855	0.4878155008554632	0.2550401706538903	0.7495706840652723
GO:0003856	1.640618921875971	0.2638768870673882	0.8285647197860975
GO:0003857	-0.4936174138784235	0.05197842608315817	-0.42585877932126337
GO:0003858	-4.14577376687525	-1.7360385041393531	-0.7517067626815539
GO:0003860	-1.6697362645864313	0.7104046363673922	-4.34908811605985
